;NM_MUNICIPIO;NR_ZONA;NR_SECAO;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO;NM_BAIRRO;NM_ZONA
49322;MARAGOGIPE;118;161;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA;RUA PLÁCIDO ROCHA, S/N - ZONA URBANA;PALMEIRAS;URBANA
49440;MARAGOGIPE;118;206;ESCOLA MUNICIPAL MÁRIO GORDILHO PEDREIRA;BA 420, PRÓXIMO A ENTRADA DE SÃO ROQUE DO PARAGUAÇU - ZONA RURAL;SAO ROQUE DO PARAGUAÇU;RURAL
49557;MARAGOGIPE;118;207;ESCOLA MUNICIPAL MÁRIO GORDILHO PEDREIRA;BA 420, PRÓXIMO A ENTRADA DE SÃO ROQUE DO PARAGUAÇU - ZONA RURAL;SAO ROQUE DO PARAGUAÇU;RURAL
49675;MARAGOGIPE;118;208;ESCOLA MUNICIPAL MÁRIO GORDILHO PEDREIRA;BA 420, PRÓXIMO A ENTRADA DE SÃO ROQUE DO PARAGUAÇU - ZONA RURAL;SAO ROQUE DO PARAGUAÇU;RURAL
49787;MARAGOGIPE;118;204;PRÉDIO MUNICIPAL DESEMBARGADOR OSCAR DANTAS;LARGO DO CÉU, ENSEADINHA - ZONA RURAL;SAO ROQUE DO PARAGUAÇU;RURAL
49902;MARAGOGIPE;118;205;PRÉDIO MUNICIPAL DESEMBARGADOR OSCAR DANTAS;LARGO DO CÉU, ENSEADINHA - ZONA RURAL;SAO ROQUE DO PARAGUAÇU;RURAL
50043;MARAGOGIPE;118;210;ESCOLA ESTADUAL KLEBER PACHECO;RUA SANTA CRUZ, S/N - ZONA RURAL;SAO ROQUE DO PARAGUAÇU;RURAL
50159;MARAGOGIPE;118;211;ESCOLA ESTADUAL KLEBER PACHECO;RUA SANTA CRUZ, S/N - ZONA RURAL;SAO ROQUE DO PARAGUAÇU;RURAL
50286;MARAGOGIPE;118;212;ESCOLA ESTADUAL KLEBER PACHECO;RUA SANTA CRUZ, S/N - ZONA RURAL;SAO ROQUE DO PARAGUAÇU;RURAL
50402;MARAGOGIPE;118;213;ESCOLA ESTADUAL KLEBER PACHECO;RUA SANTA CRUZ, S/N - ZONA RURAL;SAO ROQUE DO PARAGUAÇU;RURAL
50520;MARAGOGIPE;118;214;ESCOLA ESTADUAL KLEBER PACHECO;RUA SANTA CRUZ, S/N - ZONA RURAL;SAO ROQUE DO PARAGUAÇU;RURAL
50754;MARAGOGIPE;118;215;ESCOLA ESTADUAL KLEBER PACHECO;RUA SANTA CRUZ, S/N - ZONA RURAL;SAO ROQUE DO PARAGUAÇU;RURAL
50858;MARAGOGIPE;118;264;ESCOLA ESTADUAL KLEBER PACHECO;RUA SANTA CRUZ, S/N - ZONA RURAL;SAO ROQUE DO PARAGUAÇU;RURAL
50968;MARAGOGIPE;118;233;ESCOLA MUNICIPAL SILVIO V. MELO;POVOADO  ITAPECIRICA - ZONA RURAL;PONTA DE SOUZA;RURAL
51076;MARAGOGIPE;118;234;ESCOLA MUNICIPAL SILVIO V. MELO;POVOADO  ITAPECIRICA - ZONA RURAL;PONTA DE SOUZA;RURAL
51184;MARAGOGIPE;118;238;PREDIO MUNICIPAL SÃO ROQUE;POVOADO CUMBE - ZONA RURAL;;RURAL
51407;MARAGOGIPE;118;262;ESCOLA MUNICIPAL O BOM PASTOR;POVOADO DE ENCRUZILHADA - ZONA RURAL;;RURAL
51623;MARAGOGIPE;118;226;PRÉDIO MUNICIPAL CLERISTON ANDRADE;POVOADO DE LARANJEIRAS - ZONA RURAL;;RURAL
51845;MARAGOGIPE;118;232;PRÉDIO MUNICIPAL LUÍS DA FRANÇA PIEDADE;POVOADO DE OITIZEIRO - ZONA RURAL;;RURAL
52038;MARAGOGIPE;118;260;ESCOLA MUNICIPAL SANTO ANTÔNIO;POVOADO DE RIO DOS PAUS - ZONA RURAL;;RURAL
52242;MARAGOGIPE;118;184;PRÉDIO MUNICIPAL ANTÔNIO OTÍLIO DE ANDRADE;POVOADO DE SANTO ANTÔNIO DE ALDEIA - ZONA RURAL;;RURAL
52331;MARAGOGIPE;118;185;PRÉDIO MUNICIPAL ANTÔNIO OTÍLIO DE ANDRADE;POVOADO DE SANTO ANTÔNIO DE ALDEIA - ZONA RURAL;;RURAL
52436;MARAGOGIPE;118;186;PRÉDIO MUNICIPAL ANTÔNIO OTÍLIO DE ANDRADE;POVOADO DE SANTO ANTÔNIO DE ALDEIA - ZONA RURAL;;RURAL
52547;MARAGOGIPE;118;240;PRÉDIO MUNICIPAL SENHOR DO BONFIM;POVOADO DO BRINCO - ZONA RURAL;;RURAL
52640;MARAGOGIPE;118;239;PRÉDIO MUNICIPAL NOVA ESPERANÇA;POVOADO DO SERROTE - ZONA RURAL;;RURAL
52747;MARAGOGIPE;118;224;PRÉDIO MUNICIPAL MENINO JESUS DE PRAGA;POVOADO DO SINUNGA - ZONA RURAL;;RURAL
52917;MARAGOGIPE;118;225;PRÉDIO MUNICIPAL MENINO JESUS DE PRAGA;POVOADO DO SINUNGA - ZONA RURAL;;RURAL
53291;MARAGOGIPE;118;261;ESCOLA MUNICIPAL RUBEN GUERRA ARMEDE;POVOADO MARIQUITA - ZONA RURAL;;RURAL
