NR_SECAO;NM_LOCAL_VOTACAO
137;MERCADO MUNICIPAL ALEXANDRE A. PEIXOTO
232;PRÉDIO MUNICIPAL LUÍS DA FRANÇA PIEDADE
215;ESCOLA ESTADUAL KLEBER PACHECO
227;PRÉDIO MUNICIPAL CLERISTON ANDRADE
177;COLÉGIO CATARINA PARAGUAÇU
210;ESCOLA ESTADUAL KLEBER PACHECO
175;COLÉGIO CATARINA PARAGUAÇU
198;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
138;MERCADO MUNICIPAL ALEXANDRE A. PEIXOTO
138;MERCADO MUNICIPAL ALEXANDRE A. PEIXOTO
193;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
166;COLÉGIO POLIVALENTE DE MARAGOGIPE
174;COLÉGIO CATARINA PARAGUAÇU
223;ESCOLA PRÉDIO MUNICIPAL NOSSA SENHORA DA PIEDADE
246;ESCOLA MUNICIPAL GETÚLIO VARGAS
211;ESCOLA ESTADUAL KLEBER PACHECO
259;ESCOLA MUNICIPAL SÃO JOSÉ
161;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
133;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
154;COLÉGIO PLINIO PEREIRA
239;PRÉDIO MUNICIPAL NOVA ESPERANÇA
196;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
165;COLÉGIO POLIVALENTE DE MARAGOGIPE
161;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
135;PRÉDIO ESCOLAR PROFA. ADJOVITA MARQUES
149;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
206;ESCOLA MUNICIPAL MÁRIO GORDILHO PEDREIRA
135;PRÉDIO ESCOLAR PROFA. ADJOVITA MARQUES
133;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
236;PRÉDIO ESCOLAR MONSENHOR FLORISVALDO JOSÉ DE SOUZA
205;PRÉDIO MUNICIPAL DESEMBARGADOR OSCAR DANTAS
187;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
212;ESCOLA ESTADUAL KLEBER PACHECO
257;PRÉDIO MUNICIPAL CAMARÃO
174;COLÉGIO CATARINA PARAGUAÇU
240;PRÉDIO MUNICIPAL SENHOR DO BONFIM
137;MERCADO MUNICIPAL ALEXANDRE A. PEIXOTO
163;COLÉGIO POLIVALENTE DE MARAGOGIPE
175;COLÉGIO CATARINA PARAGUAÇU
